date,close,vol,vol2,vol3,br,ar,mtm,mtma,rsi1,rsi2,kdj-j,hsl,mms
 2020/02/21,18.56,20208028,210893,222401,94.22,138.91,2.27,1.6,65.05,58.58,82.59,2.48,61.93
 2020/02/24,18.62,24128624,214144,213513,92.65,137.21,2.19,1.96,66.57,59.24,76.68,2.97,62.06
 2020/02/25,18.26,21930336,218119,211239,77.95,130,1.96,2.19,50.65,53.62,51.25,2.7,58.8
 2020/02/26,19.17,39641864,253200,233674,89.09,154.39,1.37,2.2,71.4,63.24,63.86,4.87,60.97
 2020/02/27,20.13,45510888,302839,257241,104.62,176.77,2.79,2.16,81.33,70.32,80.33,5.59,66
 2020/02/28,19.26,31698408,325820,268357,98.06,204.89,1.62,2.03,59.03,59.07,61.16,3.9,68.39
 2020/03/02,21.19,38671796,354907,284525,114.47,231.94,3.37,2.22,76.32,70.49,87.75,4.75,71.02
 2020/03/03,21.5,54479012,420004,319061,124.17,183.61,3.27,2.4,78.1,71.87,84.22,6.7,71.02
 2020/03/04,22.8,37567852,415856,334528,130.33,207.66,4.09,2.75,84.11,76.81,96.71,4.62,78.6
 2020/03/05,22.81,35781912,396398,349619,142.79,220.57,4.26,3.23,84.15,76.85,93.07,4.4,81.15
 2020/03/06,22.03,30185764,393373,359596,133.21,215.75,3.48,3.35,68.05,68.29,80,3.71,78.99
 2020/03/09,20.69,26546252,369122,362014,129.93,228.57,2.05,3.42,48.8,56.5,54.43,3.26,69.4
 2020/03/10,21.85,28237748,316639,368322,166.36,238.18,3.29,3.41,60.43,62.6,52.99,3.47,62.63
 2020/03/11,21.06,20433508,282370,349113,144.99,208.45,2.44,3.27,50.97,56.69,40,2.51,57.32
 2020/03/12,20.55,15555358,241917,319158,132.08,203.61,2.29,2.97,45.46,53.16,18.71,1.91,55.88
 2020/03/13,19.97,19046604,219639,306506,117.33,213.2,0.8,2.39,39.61,49.34,5.71,2.34,49.91
 2020/03/16,18.95,20153364,206853,287987,112.34,185.93,-1.18,1.62,31.15,43.37,-9.07,2.48,44.02
 2020/03/17,18.82,19945782,190269,253454,98.93,150.48,-0.44,1.2,30.17,42.66,-7.16,2.45,39.4
 2020/03/18,19.2,27256960,203916,243143,113.28,167,-1.99,0.32,37.14,45.53,4.68,3.35,37.94
 2020/03/19,19.79,21270290,215346,228632,111.72,161.57,-1.71,-0.37,47,49.79,27.53,2.61,41.23
 2020/03/20,20.48,24107292,225467,222553,113.97,161.85,-2.32,-1.14,56.56,54.35,53.33,2.96,47.07
 2020/03/23,20.02,24833084,234827,220840,107.39,165.54,-2.79,-1.74,49.43,50.98,58.66,3.05,49.85
 2020/03/24,20.58,19106052,233147,211708,109.41,154.76,-1.45,-1.78,57.29,54.71,84.02,2.35,52.33
 2020/03/25,20.71,17977842,214589,209253,116.42,152.24,0.02,-1.71,59.07,55.56,96.17,2.21,52.99
 2020/03/26,20.11,12983616,198016,206681,108.82,145,-1.74,-1.66,48.02,50.74,85.49,1.6,52.88
 2020/03/27,20.34,16234221,182270,203868,113.04,147.13,-0.72,-1.5,52.14,52.47,84.23,2,51.8
 2020/03/30,20.07,15809425,164222,199525,111.25,151.86,-0.48,-1.19,46.9,50.21,68.98,1.94,49.17
 2020/03/31,19.62,12427305,150865,192006,105.49,141.43,-0.35,-0.79,39.06,46.58,46.89,1.53,47.12
 2020/04/01,19.7,12152969,139215,176902,112.82,145.06,0.75,-0.42,41.16,47.32,20.32,1.49,44.59
 2020/04/02,19.79,12233004,137714,167865,103.04,133.22,0.97,-0.26,43.77,48.2,14.94,1.5,43.66
 2020/04/03,19.48,10860403,126966,154618,93.62,123.96,0.28,0.08,36.98,45.35,1.12,1.33,43.08
 2020/04/07,21.25,36130664,167609,165915,112.85,122.76,1.46,0.44,69.45,60.05,59.75,4.44,49.71
 2020/04/08,21.42,22640008,188034,169449,96.52,111.07,0.94,0.68,71.17,61.15,94.88,2.78,56.39
 2020/04/09,21.32,15957268,195643,167429,90.41,125.62,1.3,0.95,68.46,60.09,100.53,1.96,63.98
 2020/04/10,21.2,21008048,213193,175453,86.55,110.35,0.62,0.93,64.9,58.76,92.34,2.58,63.24
 2020/04/13,22.06,25763964,243000,184983,91.96,119.42,1.35,0.99,75.74,64.84,98.59,3.17,64.98
 2020/04/14,22.25,20257860,211254,189431,100.69,121.74,2.14,1.3,77.58,66.05,101.46,2.49,67.85
 2020/04/15,22.29,19582296,205139,196586,115.86,123.06,1.95,1.38,78,66.32,97.98,2.41,71.57
 2020/04/16,22.5,20446850,214118,204880,105.68,119.33,2.43,1.63,80.32,67.76,99.2,2.51,72.98
 2020/04/17,23.55,26560588,225223,219208,129.02,137.63,3.93,2.07,87.96,73.87,93.74,3.26,76.62
 2020/04/20,25.03,33591552,240878,241939,160.21,155.02,5.33,2.85,92.73,79.77,91.23,4.13,82.5
 2020/04/21,25.38,27167252,254697,232976,184.89,157.83,5.59,3.56,93.47,80.88,94.48,3.34,88.09
 2020/04/22,25.09,20533632,256600,230869,193.61,174.78,5.61,4.14,84.93,77.05,90.78,2.52,88.83
 2020/04/23,24.44,20881908,257470,235794,191.89,183.75,3.19,4.35,68.18,69.05,77.04,2.57,83.01
 2020/04/24,24.12,16166348,236681,230952,173.18,169.58,2.7,4.39,61.07,65.4,61.52,1.99,74.92
 2020/04/27,24.95,22045560,213589,227234,194.84,181.79,3.63,4.34,70.61,69.9,69.71,2.71,71.04
 2020/04/28,25.11,20990044,201235,227966,189.76,174.12,3.91,4.11,72.19,70.7,77.66,2.58,71.71
 2020/04/29,25.78,19211480,198591,227595,217.06,175.42,3.72,3.79,78.1,73.88,82.36,2.36,75.74
 2020/04/30,25.49,14838196,186503,221987,200.95,175.11,3.24,3.4,70.34,70.28,69.7,1.82,75.72
 2020/05/06,25.56,14129007,182429,209555,190.91,188,3.27,3.41,71.17,70.66,64.03,1.74,75.5
 2020/05/07,26.82,23048086,184434,199012,225.19,206.82,4.32,3.68,82.03,76.5,85.2,2.83,76.54
 2020/05/08,26.71,16249653,174953,188094,218.84,219.56,3.16,3.6,78.91,75.08,88.52,2,78.7
 2020/05/11,27.71,22634802,181799,190195,255.85,233.42,2.68,3.4,85.09,78.96,88.02,2.78,82.4
 2020/05/12,27.99,16978484,186080,186292,262.23,235.05,2.61,3.21,86.42,79.91,91.9,2.09,83.79
 2020/05/13,28.19,13474890,184772,183600,245.13,225.61,3.1,3.19,87.39,80.6,96.62,1.66,86.21
 2020/05/14,27.61,18706126,176088,180261,222.57,200.46,3.17,3.17,70.02,72.73,85.55,2.3,82.79
 2020/05/15,27.43,17799024,179187,177070,208.6,184.11,3.31,3,65.19,70.41,74.43,2.19,77.77
 2020/05/18,26.45,20694792,175307,178553,161.87,148.67,1.5,2.73,44.95,59.17,46.13,2.54,66.82
 2020/05/19,26.33,13555989,168462,177271,166.96,144.41,1.22,2.48,42.98,57.93,16.29,1.67,59.38
 2020/05/20,25.9,17030148,175572,180172,158.59,139.12,0.12,2.07,36.19,53.56,-2.41,2.09,51.03
 2020/05/21,26.24,17719528,173599,174843,161.98,147.21,0.75,1.68,44.51,56.4,0.19,2.18,49.87
 2020/05/22,24.92,18455644,174912,177049,137.06,122.94,-0.64,1.04,27.69,44.8,-12.77,2.27,43.9
 2020/05/25,25.03,12131581,157786,166546,132.32,117.79,-1.79,0.19,30.33,45.81,-2.84,1.49,40.6
 2020/05/26,25.29,10750955,152176,160319,129.69,117.01,-1.42,-0.29,36.85,48.26,9.75,1.32,37.09
 2020/05/27,24.78,9007933,136131,155852,122.57,106.61,-2.93,-0.98,30.19,44.01,8.45,1.11,37.02
 2020/05/28,25.11,13005893,126704,150151,114.46,105.61,-2.88,-1.48,38.78,47.29,17.99,1.6,38.19
 2020/05/29,24.48,10818589,111430,143171,91.87,88.95,-3.71,-2.23,30.26,42.15,9.35,1.33,35.63
 2020/06/01,25.32,13180686,113528,135657,95.86,88.38,-2.29,-2.5,48.4,50.05,30.26,1.62,39.29
 2020/06/02,25.19,10588513,113203,132689,96.78,86.9,-2.24,-2.58,46.17,48.92,37.02,1.3,40.61
 2020/06/03,24.71,14860913,124909,130520,101.91,91.21,-1.74,-2.63,38.34,44.85,26.88,1.83,42.36
 2020/06/04,23.78,17658826,134215,130460,95.59,86.71,-2.55,-2.57,27.5,38.14,6.78,2.17,36.82
 2020/06/05,23.9,12505884,137590,124510,84.43,81.58,-2,-2.42,30.54,39.42,12.97,1.54,32.51
 2020/06/08,23.5,11635601,134499,124014,78.28,79.06,-2.74,-2.26,26.15,36.67,3.41,1.43,28.91
